Obs No.,Buy,Income,Is Female,Is Married,Has College,Is Professional,Is Retired,Unemployed,Residence Length,Dual Income,Minors,Own,House,White,English,Prev Child Mag,Prev Parent Mag
374,0,8000,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
375,0,19000,0,0,0,1,0,0,8,0,0,1,1,1,1,0,1
376,0,50000,0,0,1,1,0,0,5,0,0,0,1,1,1,0,0
377,0,10000,1,0,0,0,0,0,8,0,1,1,1,0,1,0,0
378,1,70000,1,1,0,0,0,0,26,1,0,1,1,1,1,0,0
379,0,27000,0,0,0,0,0,0,19,0,0,0,1,1,1,0,0
380,0,30000,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
381,0,18000,0,0,0,0,0,0,24,0,0,0,1,1,1,0,0
382,1,75000,1,1,0,0,0,0,23,0,0,1,1,1,1,0,0
383,0,55000,0,1,0,1,0,0,11,1,0,1,1,1,1,0,0
384,0,10000,1,0,0,0,0,0,14,0,1,0,1,0,1,0,0
385,0,30000,0,1,1,0,0,0,38,1,0,1,1,1,1,0,0
386,0,20000,0,0,0,0,0,0,30,0,0,0,1,1,1,0,1
387,0,26000,0,0,1,1,0,0,28,0,0,1,0,1,1,0,0
388,0,7000,1,0,0,0,0,0,16,0,0,0,1,1,1,0,0
389,1,75000,1,0,1,1,0,0,3,0,1,1,1,1,1,0,0
390,1,60000,0,1,0,1,0,0,15,0,1,1,1,1,1,0,0
391,0,12000,0,0,0,0,0,0,21,0,1,0,1,0,1,0,0
392,0,63000,1,0,0,0,0,0,24,0,1,0,1,1,0,0,0
393,0,49000,1,1,0,1,0,0,29,1,0,0,0,0,1,1,0
394,0,8000,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0
395,0,23000,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0
396,1,72000,0,0,0,0,0,0,24,0,0,0,1,1,1,1,0
397,0,47000,0,0,0,0,0,0,27,0,0,0,0,0,1,0,0
398,0,48000,0,1,0,0,0,0,11,1,0,0,0,1,1,0,0
399,0,33000,0,0,1,0,1,0,26,0,0,0,0,1,1,0,0
400,1,75000,1,1,0,1,0,0,29,0,0,1,1,1,1,0,0
401,0,7000,1,0,0,0,0,0,13,0,0,0,1,1,1,0,0
402,0,11000,1,0,1,0,0,0,21,0,0,0,1,0,1,0,0
403,0,50000,1,1,0,1,0,0,16,1,1,1,1,1,1,0,0
404,0,8000,1,0,0,0,0,0,7,0,1,0,1,1,1,0,0
405,0,42000,0,1,0,0,0,0,29,1,0,1,1,1,1,0,0
406,1,69000,0,1,1,1,0,0,30,1,1,1,1,1,1,0,0
407,0,21000,1,0,0,1,0,0,10,0,1,0,1,1,1,0,0
408,0,12000,1,0,0,0,0,0,19,0,1,0,1,1,0,0,0
409,1,75000,0,1,1,0,0,0,22,1,1,1,1,1,1,0,0
410,0,24000,1,0,0,1,0,0,16,0,0,0,0,1,1,0,0
411,0,70000,0,0,0,1,0,0,16,0,0,0,0,1,1,0,0
412,0,42000,0,0,1,1,0,0,3,0,0,0,0,1,1,0,0
413,0,7000,1,0,0,0,0,0,4,0,0,0,0,0,1,0,1
414,1,75000,0,1,1,0,0,0,33,0,1,1,1,1,1,1,0
415,0,7000,1,0,0,0,0,0,16,0,1,0,1,1,1,0,0
416,0,75000,0,1,1,1,0,0,6,0,0,1,1,1,1,0,0
417,0,4000,1,0,0,0,0,0,20,0,0,0,1,1,1,0,0
418,1,75000,1,0,1,1,0,0,21,0,0,1,1,1,1,0,0
419,0,40000,1,0,0,1,0,0,11,0,1,1,1,1,1,0,0
420,0,75000,0,1,1,1,0,0,36,0,0,1,1,0,1,0,0
421,0,34000,1,0,0,0,0,0,6,0,1,0,0,0,1,1,0
422,1,67000,0,1,1,1,0,0,29,1,0,1,1,1,1,0,0
423,0,50000,1,1,0,1,0,0,24,1,0,1,1,1,1,0,1
424,0,8000,1,1,0,0,0,0,29,1,0,1,1,0,0,0,0
425,0,26000,1,0,1,1,0,0,2,0,0,0,1,1,1,0,1
426,0,50000,0,0,1,1,0,0,3,0,1,0,1,0,1,0,0
427,0,42000,0,0,0,0,0,0,19,0,1,0,1,1,1,0,0
428,0,11000,0,0,0,0,0,0,10,0,0,0,1,1,1,0,0
429,0,23000,1,0,1,1,0,0,2,0,0,0,0,1,1,0,0
430,0,16000,1,0,1,0,0,0,20,0,0,0,0,1,1,0,0
431,0,4000,1,0,0,0,0,0,17,0,1,0,1,1,1,0,0
432,0,34000,1,1,0,0,0,0,36,0,1,1,1,1,1,0,0
433,1,75000,1,1,0,0,0,0,23,1,0,0,1,1,1,0,0
434,1,75000,1,0,0,1,0,0,19,0,0,0,1,0,1,0,0
435,1,75000,0,1,1,1,0,0,10,1,0,1,1,1,1,0,0
436,0,15000,1,0,0,0,0,0,4,0,0,0,1,0,1,0,0
437,0,59000,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0
438,1,69000,1,1,1,1,0,0,34,1,1,1,1,1,1,1,0
439,0,40000,0,1,0,0,0,0,19,1,0,0,1,1,1,0,0
440,0,17000,1,0,0,0,0,0,23,0,1,1,1,1,1,0,1
441,0,53000,1,1,1,1,0,0,12,1,0,1,1,1,1,0,0
442,0,38000,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0
443,0,22000,0,0,0,0,0,0,15,1,0,0,0,1,1,0,0
444,1,75000,1,0,0,0,0,0,22,0,0,0,1,1,0,0,0
445,0,12000,1,1,0,1,0,0,7,0,0,0,1,0,1,0,0
446,1,75000,0,1,1,1,0,0,15,0,0,1,1,1,1,0,0
447,0,60000,0,0,0,1,0,0,36,1,0,0,0,1,1,0,0
448,0,55000,0,0,1,1,0,0,3,0,0,0,0,1,1,0,0
449,0,75000,0,1,1,0,0,0,36,1,0,1,1,1,1,0,0
450,0,41000,1,0,1,1,0,0,32,0,0,0,0,0,1,1,0
451,0,4000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
452,1,55000,0,1,1,0,0,0,32,0,1,1,1,0,1,0,0
453,0,8000,1,1,0,0,0,0,10,1,1,0,1,0,0,0,0
454,1,75000,1,1,0,1,0,0,7,1,0,1,1,1,1,0,0
455,0,39000,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
456,0,24000,1,0,0,1,0,0,3,0,0,0,0,1,1,0,0
457,0,22000,0,0,0,0,0,0,45,0,0,0,1,1,1,0,0
458,0,40000,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0
459,0,62000,1,0,1,1,0,0,14,0,0,1,1,1,1,0,0
460,0,1000,1,0,0,0,0,0,17,0,1,0,1,0,1,0,0
461,0,38000,1,1,0,1,0,0,26,1,0,1,1,1,1,0,0
462,0,19000,1,0,0,0,0,0,19,0,1,0,0,0,1,0,0
463,0,15000,0,0,0,1,0,0,20,0,1,0,0,1,1,1,0
464,0,4000,1,0,0,0,0,0,12,0,1,0,1,0,1,0,0
465,0,11000,0,0,0,0,0,0,4,0,0,0,1,1,1,0,0
466,0,30000,0,0,1,0,0,0,9,0,0,0,0,1,1,0,0
467,0,15000,1,0,0,0,0,0,41,0,0,0,1,1,1,0,0
468,0,33000,0,1,1,0,0,0,3,0,1,0,1,1,1,0,0
469,0,45000,0,0,1,1,0,0,4,0,0,0,0,1,1,0,0
470,0,36000,1,0,0,1,0,0,6,0,0,0,1,1,1,0,0
471,0,11000,1,0,0,0,1,0,58,0,1,0,1,0,1,0,0
472,0,1000,0,0,0,0,0,0,15,0,1,0,1,0,1,0,0
473,1,35000,1,1,0,0,0,0,15,1,1,1,1,1,1,1,0
474,0,13000,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0
475,0,35000,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0
476,0,29000,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0
477,0,49000,1,0,1,1,0,0,45,0,0,1,1,1,1,1,1
478,0,18000,1,0,0,1,0,0,8,0,1,0,1,0,0,0,0
479,0,39000,1,0,0,1,0,0,4,0,0,1,1,1,1,0,0
480,0,35000,0,0,0,0,0,0,9,0,0,0,0,1,1,0,0
481,1,67000,0,1,1,0,0,0,56,1,0,1,0,1,1,0,1
482,0,9000,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
483,0,10000,1,0,0,0,0,0,9,0,1,0,1,1,1,0,1
484,0,2000,1,0,0,0,0,0,9,0,0,0,1,1,1,0,0
485,0,25000,0,0,0,0,0,0,12,0,0,0,0,1,1,0,0
486,0,21000,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0
487,0,37000,0,0,1,1,0,0,28,0,0,0,0,1,1,0,0
488,1,42000,1,1,1,1,0,0,54,0,0,1,1,1,1,0,0
489,1,75000,1,1,1,0,0,0,6,0,1,1,0,1,1,0,0
490,0,12000,0,1,1,0,0,0,4,1,1,0,0,0,0,0,0
491,0,20000,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0
492,0,0,1,0,0,0,0,0,16,0,1,0,0,0,1,0,1
493,1,75000,1,1,0,0,0,0,31,1,0,1,1,1,1,0,1
494,1,75000,0,0,0,1,0,0,2,0,0,0,1,1,1,0,0
495,0,36000,0,1,0,0,1,0,40,0,0,1,1,0,1,0,0
496,0,5000,1,0,0,0,0,0,13,0,0,1,1,0,1,0,0
497,0,52000,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
498,0,65000,0,0,0,0,0,0,17,0,1,0,1,0,0,0,0
499,0,37000,0,0,1,0,0,0,5,0,0,0,1,1,1,0,0
500,0,55000,1,1,1,1,0,0,8,1,1,1,1,0,1,0,0
501,0,43000,0,0,0,0,0,0,19,0,1,0,1,0,0,0,0
502,0,45000,1,0,1,1,0,0,7,0,0,1,1,1,1,0,0
503,0,27000,1,0,1,0,1,0,9,0,0,0,0,1,1,0,0
504,0,2000,0,0,0,0,0,0,18,0,1,0,1,1,1,0,0
505,0,8000,0,0,0,0,0,0,15,0,1,0,1,1,1,1,0
506,0,6000,0,0,0,0,0,0,15,0,0,0,1,1,1,0,0
507,0,6000,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0
508,1,75000,0,0,0,0,0,0,5,0,1,0,1,1,0,0,0
509,0,22000,1,1,0,1,0,0,6,0,0,1,0,1,1,0,0
510,1,66000,0,0,0,0,0,0,65,0,0,1,1,1,1,0,0
511,0,54000,0,0,0,1,0,0,15,0,0,1,1,1,1,0,0
512,1,64000,0,1,0,1,0,0,37,0,1,1,1,1,1,0,0
513,0,0,1,0,0,0,0,0,17,0,1,0,1,1,1,0,0
514,0,65000,0,0,1,0,1,0,29,0,0,1,1,1,1,0,0
515,1,75000,1,0,0,0,0,0,5,0,0,0,1,1,1,0,0
516,1,58000,0,1,0,0,0,0,13,1,0,1,1,1,1,0,0
517,0,41000,1,1,0,1,0,0,17,1,1,1,1,1,1,0,0
518,0,54000,0,0,0,0,0,0,17,0,0,1,1,0,1,0,0
519,0,39000,0,1,0,0,1,0,22,0,0,1,1,0,1,0,0
520,0,6000,1,0,0,0,0,0,14,0,1,0,1,0,0,0,0
521,0,20000,1,1,0,0,0,0,25,1,1,0,1,0,1,0,0
522,0,5000,0,0,0,0,0,0,16,0,1,0,1,1,0,0,0
523,0,28000,1,1,0,1,0,0,21,1,0,1,1,1,1,0,0
524,0,44000,0,1,1,0,1,0,12,0,1,1,1,1,1,0,1
525,1,70000,1,1,0,1,0,0,9,1,0,1,1,0,1,0,0
526,1,35000,1,1,0,1,0,0,28,1,1,0,0,0,1,1,0
527,0,18000,1,0,0,0,0,0,11,0,0,0,1,1,1,0,1
528,0,34000,0,0,1,0,0,0,39,0,0,1,1,0,1,0,1
529,0,17000,1,0,0,0,0,0,10,0,0,0,0,1,1,0,0
530,0,58000,0,0,1,1,0,0,3,0,0,0,0,1,1,0,0
531,0,70000,1,1,0,0,0,0,12,1,0,1,1,0,1,0,1
532,0,54000,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
533,0,49000,0,0,0,1,0,0,3,0,0,0,1,1,1,0,0
534,0,5000,1,0,0,0,0,0,2,1,0,0,1,0,1,0,0
535,0,17000,0,0,1,0,0,0,5,0,0,0,1,1,1,0,0
536,1,64000,0,1,1,0,1,0,72,0,0,1,1,1,1,0,0
537,0,33000,1,1,0,1,0,0,24,0,1,1,1,1,1,1,0
538,0,24000,1,0,0,1,0,0,9,0,1,0,0,1,1,0,0
539,0,49000,0,0,0,0,0,0,12,0,0,0,1,1,1,0,0
540,0,1000,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
541,0,17000,1,0,0,1,0,0,35,0,1,0,1,1,1,0,0
542,0,33000,0,1,0,0,0,0,34,1,1,0,0,1,1,0,0
543,0,50000,1,1,0,0,0,0,6,1,0,1,1,1,1,0,0
544,0,58000,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0
545,0,18000,1,0,0,1,0,0,28,0,1,0,0,0,1,0,0
546,0,4000,1,0,0,0,0,0,21,0,1,0,1,0,1,0,0
547,1,49000,1,1,0,0,1,0,17,0,0,1,0,1,1,0,0
548,0,44000,0,0,1,1,0,0,4,0,0,1,0,1,1,0,0
549,0,8000,0,0,0,0,0,1,23,0,0,0,0,1,1,0,0
550,0,52000,1,0,0,1,0,0,18,0,0,1,1,0,1,0,0
551,0,56000,1,0,0,0,0,0,20,0,0,0,0,1,1,0,0
552,0,25000,0,0,0,0,0,1,16,0,0,1,1,0,1,1,0
553,0,30000,1,1,0,0,0,0,32,1,1,0,1,1,1,0,0
554,0,60000,1,0,0,0,0,0,23,0,1,0,1,1,1,0,0
555,0,35000,1,0,0,0,0,0,25,0,0,0,0,1,1,0,1
556,1,75000,0,1,1,0,1,0,38,0,0,1,1,1,1,0,0
557,0,49000,1,1,0,1,0,0,20,1,1,1,1,0,1,0,0
558,0,8000,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0
559,0,15000,1,0,1,0,0,0,33,0,0,0,1,1,1,0,0
560,0,19000,1,0,0,0,0,0,34,0,1,0,1,0,1,0,0
561,0,7000,0,0,0,0,0,0,7,0,1,0,1,1,0,0,0
562,1,61000,1,1,0,0,0,0,15,0,1,1,1,1,1,0,0
563,1,75000,1,1,0,0,0,0,23,1,0,1,1,1,1,0,0
564,1,75000,1,1,0,0,0,0,34,0,1,1,1,1,1,1,0
565,1,59000,1,0,0,1,0,0,25,0,0,1,1,1,1,0,0
566,0,12000,1,1,1,1,0,0,7,1,1,1,1,0,1,0,0
567,0,0,1,0,0,0,1,0,19,0,0,0,0,1,1,0,0
568,0,26000,1,0,0,1,0,0,52,0,0,1,1,1,1,0,0
569,0,26000,0,0,0,0,0,0,17,0,1,0,1,0,1,0,0
570,0,0,1,0,0,0,0,0,18,0,1,0,1,1,1,0,0
571,1,69000,1,1,0,0,0,0,3,0,1,1,1,1,1,0,0
572,1,65000,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0
573,0,7000,0,0,0,0,0,0,8,0,0,1,1,1,1,0,0
574,0,62000,1,1,1,1,0,0,20,1,1,0,1,1,1,0,0
575,0,57000,0,1,0,1,0,0,18,1,0,1,1,0,1,0,0
576,0,5000,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
577,0,56000,1,1,1,0,0,0,43,0,0,1,1,0,1,0,0
578,0,67000,1,0,0,0,0,0,10,0,1,0,1,0,0,0,0
579,0,27000,0,0,0,0,0,0,19,0,1,0,1,1,1,0,0
580,0,40000,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0
581,0,46000,1,0,0,0,0,0,12,0,0,1,1,1,1,0,0
582,0,44000,0,0,1,1,0,0,48,0,0,0,0,1,1,0,0
583,0,17000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
584,0,70000,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0
585,0,22000,1,0,0,0,0,0,13,0,0,0,0,1,1,1,0
586,0,39000,0,0,1,1,0,0,10,0,0,0,0,0,1,0,0
587,0,8000,0,0,0,0,0,0,16,0,1,0,1,1,1,0,1
588,0,30000,1,1,1,1,0,0,14,1,1,1,1,1,1,0,0
589,0,23000,0,0,0,0,0,1,19,0,0,1,1,0,1,0,0
590,0,32000,1,0,0,1,0,0,40,0,0,0,0,1,1,0,0
591,1,75000,1,0,0,1,0,0,19,0,1,1,1,1,1,1,0
592,0,13000,0,1,0,1,0,0,19,1,0,0,0,0,1,0,0
593,0,17000,0,0,0,0,0,0,18,0,0,0,1,0,1,0,0
594,0,13000,1,1,0,1,0,0,12,0,0,1,1,1,1,0,0
595,1,69000,1,0,0,0,0,0,13,0,0,0,0,1,1,0,0
596,0,14000,0,0,0,1,0,0,22,0,0,0,1,0,1,0,0
597,1,75000,1,1,1,0,0,0,17,0,0,1,1,1,1,0,0
598,0,23000,1,0,1,0,0,0,17,0,0,1,1,0,1,0,0
599,0,46000,1,1,1,0,1,0,68,0,0,1,1,1,1,0,0
600,0,2000,1,0,0,0,0,0,12,0,1,0,1,0,1,0,0
601,0,37000,1,1,0,0,0,0,15,0,1,1,1,1,1,0,0
602,0,14000,1,1,0,0,0,0,28,0,0,0,0,0,1,0,0
603,0,8000,0,0,0,0,0,0,14,0,1,0,1,0,1,0,0
604,0,27000,0,0,0,1,0,0,4,0,0,0,1,0,0,1,0
605,0,5000,0,1,0,0,0,1,32,0,1,1,1,0,0,0,0
606,0,6000,1,0,0,0,0,0,17,0,1,0,0,1,1,0,0
607,0,44000,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0
608,0,14000,0,0,0,0,0,0,19,1,0,0,1,0,1,0,0
609,0,49000,1,0,0,0,0,0,20,0,1,0,0,0,0,0,0
610,1,75000,1,0,1,0,0,1,23,0,1,0,1,1,1,0,0
611,0,7000,0,0,0,0,0,0,14,0,1,0,1,0,1,0,0
612,0,61000,0,1,1,1,0,0,42,0,0,1,1,0,1,0,1
613,0,42000,0,1,0,0,0,0,57,0,0,1,1,1,1,0,0
614,0,30000,1,1,0,1,0,0,19,1,1,0,0,1,1,0,1
615,1,59000,1,1,0,0,0,0,35,0,1,1,1,1,1,0,0
616,0,38000,0,0,1,1,0,0,3,0,0,0,0,1,1,0,1
617,0,13000,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0
618,0,31000,0,0,0,0,0,0,25,0,1,0,1,0,0,0,1
619,0,24000,0,1,1,0,1,0,23,0,0,1,1,1,1,0,0
620,0,34000,0,0,1,0,0,0,18,0,0,0,1,0,1,0,0
621,0,45000,1,0,0,0,0,0,15,0,1,1,1,1,1,0,0
622,0,3000,0,0,0,0,0,0,14,0,1,0,1,0,1,0,0
623,0,41000,1,0,0,0,0,0,16,0,1,0,1,1,1,0,0
624,0,33000,1,0,0,0,0,0,4,0,1,0,1,1,1,0,0
625,1,75000,0,1,1,1,0,0,13,0,1,1,1,0,1,0,0
626,0,5000,0,0,0,0,0,0,7,0,1,0,1,1,1,0,0
627,0,20000,0,0,0,0,0,0,18,0,0,0,1,0,1,0,0
628,0,23000,1,1,0,0,0,0,27,1,1,0,0,0,1,0,0
629,0,24000,0,0,0,1,0,0,5,0,0,0,0,1,1,0,0
630,0,30000,0,1,0,0,0,0,13,1,0,0,0,1,1,0,0
631,0,18000,1,1,0,0,0,0,4,1,1,0,0,0,1,0,0
632,0,19000,0,0,0,0,0,0,28,0,0,0,0,1,1,0,0
633,0,27000,1,0,0,0,0,0,18,0,0,0,1,1,1,0,0
634,0,10000,0,0,1,1,0,0,7,0,1,0,1,0,0,0,0
635,0,46000,0,0,1,1,0,0,3,0,0,0,0,1,1,0,1
636,0,27000,1,0,0,1,0,0,8,0,0,0,0,1,1,0,0
637,0,29000,0,1,0,0,1,0,19,0,0,1,1,1,1,0,0
638,0,35000,1,1,0,0,0,0,25,0,1,0,0,1,1,0,0
639,1,75000,1,1,0,0,0,0,24,1,0,1,1,0,1,1,0
640,0,37000,1,0,1,1,0,0,11,0,0,0,0,1,1,0,0
641,0,28000,1,0,0,0,1,0,14,0,0,1,1,1,1,0,0
642,1,67000,1,0,0,1,0,0,23,0,0,0,1,1,1,0,0
643,1,75000,0,1,1,1,0,0,25,1,1,1,1,0,1,0,0
644,0,8000,1,0,0,0,0,0,20,0,1,0,1,1,1,0,0
645,1,73000,0,1,0,1,0,0,22,1,1,1,1,0,1,0,0
646,0,22000,1,0,0,0,0,0,41,0,0,0,0,1,1,0,0
647,0,24000,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0
648,0,28000,1,0,1,1,0,0,10,0,0,0,0,1,1,0,0
649,1,75000,1,0,0,0,0,0,5,0,0,0,1,1,1,0,0
650,0,14000,0,0,1,1,0,0,10,0,0,0,0,1,1,0,0
651,0,47000,0,0,0,0,0,0,10,0,0,0,1,1,1,0,0
652,0,8000,1,0,0,0,0,0,19,0,0,0,1,0,1,0,0
653,0,15000,0,0,0,0,0,0,9,0,0,0,0,1,1,0,0
654,0,10000,1,0,0,0,0,0,23,0,0,0,0,0,1,0,0
655,1,75000,0,1,0,1,0,0,8,1,1,0,1,1,1,0,0
656,0,72000,0,0,1,0,1,0,54,0,0,1,1,1,1,0,0
657,0,33000,0,0,0,0,0,0,14,0,1,0,1,0,1,0,0
658,0,58000,0,1,1,1,0,0,9,1,1,1,1,1,1,0,0
659,1,49000,1,1,0,0,0,0,15,0,1,1,1,1,1,0,0
660,0,27000,1,1,0,0,1,0,28,0,0,1,1,1,1,0,0
661,0,4000,1,0,0,0,0,0,20,0,1,0,1,1,1,0,0
662,0,40000,1,0,1,1,0,0,12,0,0,1,1,1,1,0,0
663,0,75000,1,1,1,0,0,0,3,0,0,1,1,1,1,0,0
664,0,27000,1,0,0,0,0,0,12,0,1,1,1,1,1,0,0
665,0,22000,0,0,0,1,0,0,8,0,1,1,1,0,1,0,0
666,0,8000,1,1,0,0,0,0,18,0,0,1,1,1,0,0,0
667,1,75000,1,1,1,0,1,0,7,0,0,1,1,1,1,0,0
668,0,21000,0,1,0,0,0,0,20,0,0,0,0,0,1,0,0
669,0,27000,1,0,0,0,0,0,6,0,1,1,1,1,1,0,0
670,0,3000,1,0,0,0,0,0,11,0,1,0,1,0,1,0,0
671,1,75000,1,1,0,1,0,0,52,0,0,1,1,1,1,0,0
672,1,51000,1,1,0,1,0,0,10,1,1,1,1,1,1,0,0
673,0,11000,0,1,0,0,0,1,11,0,1,0,0,0,1,0,0
